日期,時間,項目,性別,場館,連結,編號,賽事階段,備註
2017-08-27,14:00,個人全能決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2349,,第1組-環&球項目,
2017-08-27,16:00,個人全能決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2349,,第2組-環&球項目,
2017-08-27,18:30,團隊全能決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2349,,5環,
2017-08-28,14:00,個人全能決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2539,,第1組-棒&帶項目,
2017-08-28,16:00,個人全能決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2539,,第2組-棒&帶項目,
2017-08-28,18:30,團隊全能決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2539,,3球2繩,
2017-08-28,19:30,個人全能頒獎女頒獎,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2539,,頒獎,
2017-08-28,19:30,團隊全能頒獎女頒獎,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2539,,頒獎,
2017-08-29,14:00,個人單項決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,環項目,
2017-08-29,14:30,個人單項決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,球項目,
2017-08-29,15:00,團隊單項決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,5環項目,
2017-08-29,15:30,個人單項決賽（環項目）頒獎,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,頒獎,
2017-08-29,16:30,個人單項決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,棒項目,
2017-08-29,17:00,個人單項決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,帶項目,
2017-08-29,17:30,團隊單項決賽,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,3球2繩項目,
2017-08-29,18:00,個人單項決賽（棒項目）頒獎,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,頒獎,
2017-08-29,18:00,個人單項決賽（帶項目）頒獎,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,頒獎,
2017-08-29,18:00,團隊單項決賽3球2繩項目頒獎,女,臺北南港展覽館1館,/ticket/area/17_TPE_11/2540,,頒獎,
